y (m),u_simulated (m/s),u_analytical (m/s)
0.01,-0.05747868639974975,-0.05940000000000001
0.03,-0.16764600967215157,-0.17459999999999998
0.05,-0.2730431450932888,-0.28500000000000003
0.07,-0.3736898366840646,-0.39060000000000006
0.09,-0.4696056328898184,-0.4914
0.11,-0.5608098094315466,-0.5874
0.13,-0.6473212932334372,-0.6786000000000001
0.15,-0.7291585877269444,-0.765
0.17,-0.8063396998262004,-0.8466
0.19,-0.8788820688629537,-0.9234
0.21,-0.9468024977614871,-0.9954
0.23,-1.0101170867251597,-1.0626
0.25,-1.0688411696962559,-1.125
0.27,-1.1229892538399224,-1.1825999999999999
0.29,-1.1725749622910122,-1.2353999999999998
0.31,-1.217610980389798,-1.2833999999999999
0.33,-1.2581090056187294,-1.3266
0.35000000000000003,-1.2940797014378096,-1.365
0.37,-1.3255326552007973,-1.3986
0.39,-1.3524763403182987,-1.4274
0.41000000000000003,-1.3749180828170822,-1.4514
0.43,-1.392864032427606,-1.4706000000000001
0.45,-1.406319138313832,-1.4849999999999999
0.47000000000000003,-1.4152871295411513,-1.4946
0.49,-1.4197705003594456,-1.4994
0.51,-1.4197705003594456,-1.4994
0.53,-1.4152871295411513,-1.4946
0.55,-1.406319138313832,-1.4849999999999999
0.5700000000000001,-1.392864032427606,-1.4706
0.59,-1.3749180828170822,-1.4514
0.61,-1.3524763403182987,-1.4274
0.63,-1.3255326552007973,-1.3985999999999998
0.65,-1.2940797014378096,-1.3649999999999998
0.67,-1.2581090056187294,-1.3265999999999998
0.6900000000000001,-1.2176109803897999,-1.2833999999999999
0.71,-1.1725749622910147,-1.2353999999999998
0.73,-1.1229892538399235,-1.1826000000000003
0.75,-1.068841169696257,-1.125
0.77,-1.010117086725161,-1.0626000000000002
0.79,-0.9468024977614876,-0.9953999999999996
0.81,-0.8788820688629537,-0.9233999999999996
0.8300000000000001,-0.8063396998262007,-0.8466
0.85,-0.7291585877269444,-0.7650000000000003
0.87,-0.6473212932334372,-0.6785999999999999
0.89,-0.5608098094315468,-0.5873999999999999
0.91,-0.4696056328898184,-0.49139999999999984
0.93,-0.3736898366840646,-0.3905999999999996
0.9500000000000001,-0.2730431450932892,-0.2849999999999999
0.97,-0.167646009672152,-0.1746000000000001
0.99,-0.057478686399750005,-0.05940000000000012
