    y	      U(y)
0.0000	0.00000000
0.0100	0.08000000
0.0200	0.16000000
0.0300	0.24000000
0.0400	0.32000000
0.0500	0.40000000
0.0600	0.48000000
0.0700	0.56000000
0.0800	0.64000000
0.0900	0.72000000
0.1000	0.80000000
0.1100	0.88000000
0.1200	0.96000000
0.1300	1.04000000
0.1400	1.12000000
0.1500	1.20000000
0.1600	1.28000000
0.1700	1.36000000
0.1800	1.44000000
0.1900	1.52000000
0.2000	1.60000000
0.2100	1.68000000
0.2200	1.76000000
0.2300	1.84000000
0.2400	1.92000000
0.2500	2.00000000
0.2600	2.08000000
0.2700	2.16000000
0.2800	2.24000000
0.2900	2.32000000
0.3000	2.40000000
0.3100	2.48000000
0.3200	2.56000000
0.3300	2.64000000
0.3400	2.72000000
0.3500	2.80000000
0.3600	2.88000000
0.3700	2.96000000
0.3800	3.04000000
0.3900	3.12000000
0.4000	3.20000000
0.4100	3.28000000
0.4200	3.36000000
0.4300	3.44000000
0.4400	3.52000000
0.4500	3.60000000
0.4600	3.68000000
0.4700	3.76000000
0.4800	3.84000000
0.4900	3.92000000
0.5000	4.00000000
0.5100	4.08000000
0.5200	4.16000000
0.5300	4.24000000
0.5400	4.32000000
0.5500	4.40000000
0.5600	4.48000000
0.5700	4.56000000
0.5800	4.64000000
0.5900	4.72000000
0.6000	4.80000000
0.6100	4.88000000
0.6200	4.96000000
0.6300	5.04000000
0.6400	5.12000000
0.6500	5.20000000
0.6600	5.28000000
0.6700	5.36000000
0.6800	5.44000000
0.6900	5.52000000
0.7000	5.60000000
0.7100	5.68000000
0.7200	5.76000000
0.7300	5.84000000
0.7400	5.92000000
0.7500	6.00000000
0.7600	6.08000000
0.7700	6.16000000
0.7800	6.24000000
0.7900	6.32000000
0.8000	6.40000000
0.8100	6.48000000
0.8200	6.56000000
0.8300	6.64000000
0.8400	6.72000000
0.8500	6.80000000
0.8600	6.88000000
0.8700	6.96000000
0.8800	7.04000000
0.8900	7.12000000
0.9000	7.20000000
0.9100	7.28000000
0.9200	7.36000000
0.9300	7.44000000
0.9400	7.52000000
0.9500	7.60000000
0.9600	7.68000000
0.9700	7.76000000
0.9800	7.84000000
0.9900	7.92000000
1.0000	8.00000000
