y	U(y)
0.0000	0.04039990
0.0100	0.12118400
0.0200	0.20195200
0.0300	0.28270301
0.0400	0.36343899
0.0500	0.44415900
0.0600	0.52486300
0.0700	0.60555100
0.0800	0.68622297
0.0900	0.76687902
0.1000	0.84751803
0.1100	0.92814201
0.1200	1.00874996
0.1300	1.08933997
0.1400	1.16991997
0.1500	1.25048006
0.1600	1.33102000
0.1700	1.41155005
0.1800	1.49205995
0.1900	1.57255995
0.2000	1.65304005
0.2100	1.73350000
0.2200	1.81394994
0.2300	1.89437997
0.2400	1.97479999
0.2500	2.05520010
0.2600	2.13558006
0.2700	2.21595001
0.2800	2.29629993
0.2900	2.37664008
0.3000	2.45695996
0.3100	2.53726006
0.3200	2.61754990
0.3300	2.69781995
0.3400	2.77807999
0.3500	2.85832000
0.3600	2.93853998
0.3700	3.01874995
0.3800	3.09893990
0.3900	3.17912006
0.4000	3.25927997
0.4100	3.33942008
0.4200	3.41954994
0.4300	3.49966002
0.4400	3.57976007
0.4500	3.65984011
0.4600	3.73990011
0.4700	3.81995010
0.4800	3.89998007
0.4900	3.98000002
0.5000	4.05999994
0.5100	4.13997984
0.5200	4.21995020
0.5300	4.29990005
0.5400	4.37983990
0.5500	4.45976019
0.5600	4.53965998
0.5700	4.61955023
0.5800	4.69941998
0.5900	4.77928019
0.6000	4.85911989
0.6100	4.93894005
0.6200	5.01875019
0.6300	5.09853983
0.6400	5.17831993
0.6500	5.25808001
0.6600	5.33782005
0.6700	5.41755009
0.6800	5.49726009
0.6900	5.57696009
0.7000	5.65664005
0.7100	5.73629999
0.7200	5.81594992
0.7300	5.89557981
0.7400	5.97520018
0.7500	6.05480003
0.7600	6.13437986
0.7700	6.21395016
0.7800	6.29349995
0.7900	6.37304020
0.8000	6.45255995
0.8100	6.53206015
0.8200	6.61154985
0.8300	6.69102001
0.8400	6.77048016
0.8500	6.84991980
0.8600	6.92933989
0.8700	7.00874996
0.8800	7.08814001
0.8900	7.16752005
0.9000	7.24688005
0.9100	7.32622004
0.9200	7.40555000
0.9300	7.48485994
0.9400	7.56415987
0.9500	7.64343977
0.9600	7.72270012
0.9700	7.80194998
0.9800	7.88117981
0.9900	7.96040010
1.0000	8.03960037
