x,Curve2-1
-0.977,3.17089
-0.7885,2.51072
-0.6318,1.98611
-0.447,1.36044
-0.2798,0.76203
-0.1988,0.50994
-0.1346,0.28416
-0.0962,0.14311
-0.0634,0.03181
-0.0438,-0.02002
-0.0277,-0.03805
-0.0073,-0.01282
0.018,0.05702
0.0707,0.18453
0.142,0.37021
0.2235,0.5882
0.3297,0.81641
0.4518,1.04915
0.5616,1.24442
0.7226,1.49873
0.8659,1.68946
1.0852,1.93013
1.3274,2.14241
1.483,2.25025
1.6562,2.33764
1.8612,2.408
2.0449,2.44202
2.2393,2.43631
2.4618,2.39652
2.702,2.31018
2.882,2.21704
3.0392,2.11936
3.2404,1.97285
3.4239,1.81839
3.6022,1.6469
3.8316,1.3857
4.0768,1.08816
4.2585,0.83833
4.4419,0.56351
4.576,0.36819
4.6941,0.17741
4.7629,0.06045
4.7946,0.00935
4.8299,-0.02132
4.8812,0.03431
5.0174,0.18416
5.1412,0.29541
5.2826,0.4146
5.4682,0.53379
5.6962,0.63253
5.8853,0.68358
6.0884,0.70057
6.311,0.67896
6.5671,0.61759
6.7878,0.51763
7.0049,0.38814
7.1762,0.26775
7.3138,0.15986
7.418,0.06446
7.5168,-0.00823
7.6617,0.06214
7.7996,0.12115
7.9622,0.16881
