    y	      U(y)
0.0000	0.00000000
0.0100	0.05958315
0.0200	0.11796260
0.0300	0.17513835
0.0400	0.23111040
0.0500	0.28587875
0.0600	0.33944340
0.0700	0.39180435
0.0800	0.44296160
0.0900	0.49291515
0.1000	0.54166500
0.1100	0.58921115
0.1200	0.63555360
0.1300	0.68069235
0.1400	0.72462740
0.1500	0.76735875
0.1600	0.80888640
0.1700	0.84921035
0.1800	0.88833060
0.1900	0.92624715
0.2000	0.96296000
0.2100	0.99846915
0.2200	1.03277460
0.2300	1.06587635
0.2400	1.09777440
0.2500	1.12846875
0.2600	1.15795940
0.2700	1.18624635
0.2800	1.21332960
0.2900	1.23920915
0.3000	1.26388500
0.3100	1.28735715
0.3200	1.30962560
0.3300	1.33069035
0.3400	1.35055140
0.3500	1.36920875
0.3600	1.38666240
0.3700	1.40291235
0.3800	1.41795860
0.3900	1.43180115
0.4000	1.44444000
0.4100	1.45587515
0.4200	1.46610660
0.4300	1.47513435
0.4400	1.48295840
0.4500	1.48957875
0.4600	1.49499540
0.4700	1.49920835
0.4800	1.50221760
0.4900	1.50402315
0.5000	1.50462500
0.5100	1.50402315
0.5200	1.50221760
0.5300	1.49920835
0.5400	1.49499540
0.5500	1.48957875
0.5600	1.48295840
0.5700	1.47513435
0.5800	1.46610660
0.5900	1.45587515
0.6000	1.44444000
0.6100	1.43180115
0.6200	1.41795860
0.6300	1.40291235
0.6400	1.38666240
0.6500	1.36920875
0.6600	1.35055140
0.6700	1.33069035
0.6800	1.30962560
0.6900	1.28735715
0.7000	1.26388500
0.7100	1.23920915
0.7200	1.21332960
0.7300	1.18624635
0.7400	1.15795940
0.7500	1.12846875
0.7600	1.09777440
0.7700	1.06587635
0.7800	1.03277460
0.7900	0.99846915
0.8000	0.96296000
0.8100	0.92624715
0.8200	0.88833060
0.8300	0.84921035
0.8400	0.80888640
0.8500	0.76735875
0.8600	0.72462740
0.8700	0.68069235
0.8800	0.63555360
0.8900	0.58921115
0.9000	0.54166500
0.9100	0.49291515
0.9200	0.44296160
0.9300	0.39180435
0.9400	0.33944340
0.9500	0.28587875
0.9600	0.23111040
0.9700	0.17513835
0.9800	0.11796260
0.9900	0.05958315
1.0000	0.00000000
