y	U(y)
0.0000	0.03009400
0.0100	0.08907820
0.0200	0.14685901
0.0300	0.20343500
0.0400	0.25880799
0.0500	0.31297699
0.0600	0.36594301
0.0700	0.41770399
0.0800	0.46826199
0.0900	0.51761597
0.1000	0.56576699
0.1100	0.61271298
0.1200	0.65845603
0.1300	0.70299500
0.1400	0.74633098
0.1500	0.78846198
0.1600	0.82938999
0.1700	0.86911398
0.1800	0.90763402
0.1900	0.94495100
0.2000	0.98106402
0.2100	1.01596999
0.2200	1.04967999
0.2300	1.08218002
0.2400	1.11347997
0.2500	1.14356995
0.2600	1.17245996
0.2700	1.20015001
0.2800	1.22662997
0.2900	1.25190997
0.3000	1.27598000
0.3100	1.29885995
0.3200	1.32052004
0.3300	1.34098995
0.3400	1.36025000
0.3500	1.37829995
0.3600	1.39515996
0.3700	1.41080999
0.3800	1.42525005
0.3900	1.43849003
0.4000	1.45053005
0.4100	1.46135998
0.4200	1.47098994
0.4300	1.47941995
0.4400	1.48663998
0.4500	1.49266005
0.4600	1.49748003
0.4700	1.50109005
0.4800	1.50349998
0.4900	1.50469995
0.5000	1.50469995
0.5100	1.50349998
0.5200	1.50109005
0.5300	1.49748003
0.5400	1.49266005
0.5500	1.48663998
0.5600	1.47941995
0.5700	1.47098994
0.5800	1.46135998
0.5900	1.45053005
0.6000	1.43849003
0.6100	1.42525005
0.6200	1.41080999
0.6300	1.39515996
0.6400	1.37829995
0.6500	1.36025000
0.6600	1.34098995
0.6700	1.32052004
0.6800	1.29885995
0.6900	1.27598000
0.7000	1.25190997
0.7100	1.22662997
0.7200	1.20015001
0.7300	1.17245996
0.7400	1.14356995
0.7500	1.11347997
0.7600	1.08218002
0.7700	1.04967999
0.7800	1.01596999
0.7900	0.98106402
0.8000	0.94495100
0.8100	0.90763402
0.8200	0.86911398
0.8300	0.82938999
0.8400	0.78846198
0.8500	0.74633098
0.8600	0.70299500
0.8700	0.65845603
0.8800	0.61271298
0.8900	0.56576699
0.9000	0.51761597
0.9100	0.46826199
0.9200	0.41770399
0.9300	0.36594301
0.9400	0.31297699
0.9500	0.25880799
0.9600	0.20343500
0.9700	0.14685901
0.9800	0.08907820
0.9900	0.03009400
1.0000	0.00000000
