y	U(y)
0.0333	-1.90864003
0.1000	-1.91705000
0.1667	-1.91722000
0.2333	-1.91426003
0.3000	-1.91358995
0.3667	-1.91406000
0.4333	-1.91444004
0.5000	-1.91490996
0.5667	-1.91584003
0.6333	-1.91750002
0.7000	-1.92010999
0.7667	-1.92350996
0.8333	-1.92589998
0.9000	-1.92235005
0.9667	-1.90376997
1.0333	-1.86282003
1.1000	-1.80320001
1.1667	-1.72735000
1.2333	-1.64045000
1.3000	-1.54627001
1.3667	-1.44597995
1.4333	-1.33855999
1.5000	-1.22148001
1.5667	-1.09201002
1.6333	-0.94968599
1.7000	-0.79539400
1.7667	-0.60603100
1.8333	-0.26691201
1.9000	0.17488100
1.9667	0.18919501
2.0333	0.22226299
2.1000	0.31069499
2.1667	0.27547801
2.2333	0.03754100
2.3000	-0.35920501
2.3667	-0.77387202
2.4333	-1.07356000
2.5000	-1.17622006
2.5667	-1.02901006
2.6333	-0.61319399
2.7000	0.00000772
2.7667	0.64686900
2.8333	1.21525002
2.9000	1.74908996
2.9667	2.27593994
3.0333	2.61725998
3.1000	2.61598992
3.1667	2.50700998
3.2333	2.36124992
3.3000	2.17917991
3.3667	1.95174003
3.4333	1.66410995
3.5000	1.28652000
3.5667	0.79175299
3.6333	0.32363799
3.7000	0.58955598
3.7667	1.01056004
3.8333	1.28678000
3.9000	1.46797001
3.9667	1.59142995
4.0333	1.67910004
4.1000	1.74404001
4.1667	1.79233003
4.2333	1.82622004
4.3000	1.84669006
4.3667	1.85485995
4.4333	1.85255003
4.5000	1.84215999
4.5667	1.82635999
4.6333	1.80772996
4.7000	1.78854001
4.7667	1.77055001
4.8333	1.75495005
4.9000	1.74241996
4.9667	1.73309004
5.0333	1.72671998
5.1000	1.72281003
5.1667	1.72081995
5.2333	1.72037995
5.3000	1.72152996
5.3667	1.72498000
5.4333	1.73216999
5.5000	1.74512005
5.5667	1.76587999
5.6333	1.79542005
5.7000	1.83216000
5.7667	1.87064004
5.8333	1.90186000
5.9000	1.91647995
5.9667	1.91034997
