y	U(y)
0.0333	-1.90070999
0.1000	-1.90140998
0.1667	-1.90151000
0.2333	-1.90116000
0.3000	-1.90052998
0.3667	-1.89976001
0.4333	-1.89892006
0.5000	-1.89804995
0.5667	-1.89715004
0.6333	-1.89614999
0.7000	-1.89480996
0.7667	-1.89251006
0.8333	-1.88783002
0.9000	-1.87746000
0.9667	-1.85353994
1.0333	-1.80535996
1.1000	-1.73478997
1.1667	-1.64971006
1.2333	-1.55676997
1.3000	-1.46094000
1.3667	-1.36575997
1.4333	-1.27348006
1.5000	-1.18532002
1.5667	-1.10163999
1.6333	-1.02221000
1.7000	-0.94627798
1.7667	-0.87280202
1.8333	-0.80052000
1.9000	-0.72811401
1.9667	-0.65434903
2.0333	-0.57827902
2.1000	-0.49952400
2.1667	-0.41867700
2.2333	-0.33784500
2.3000	-0.26123500
2.3667	-0.19537100
2.4333	-0.14652500
2.5000	-0.11649000
2.5667	-0.09698090
2.6333	-0.07416380
2.7000	-0.06545150
2.7667	-0.05806300
2.8333	-0.04555260
2.9000	-0.02991620
2.9667	-0.01271540
3.0333	0.00473603
3.1000	0.02131190
3.1667	0.03589010
3.2333	0.04742640
3.3000	0.05610440
3.3667	0.07396780
3.4333	0.10146400
3.5000	0.11679900
3.5667	0.13727100
3.6333	0.17981800
3.7000	0.24642600
3.7667	0.32743600
3.8333	0.41295701
3.9000	0.49750799
3.9667	0.57873601
4.0333	0.65621603
4.1000	0.73060501
4.1667	0.80311298
4.2333	0.87518698
4.3000	0.94830102
4.3667	1.02382004
4.4333	1.10286999
4.5000	1.18621004
4.5667	1.27414000
4.6333	1.36625004
4.7000	1.46133995
4.7667	1.55710995
4.8333	1.65004003
4.9000	1.73511004
4.9667	1.80565000
5.0333	1.85380006
5.1000	1.87769997
5.1667	1.88804996
5.2333	1.89270997
5.3000	1.89497995
5.3667	1.89630997
5.4333	1.89727998
5.5000	1.89816999
5.5667	1.89901996
5.6333	1.89985001
5.7000	1.90060997
5.7667	1.90123999
5.8333	1.90158999
5.9000	1.90149999
5.9667	1.90076005
