x,Curve2
0.0617,-0.00512
0.1286,-0.008973
0.1583,-0.012809
0.2067,-0.016799
0.3533,-0.022142
0.4362,-0.026629
0.5219,-0.032417
0.6657,-0.03704
0.8365,-0.044284
1.0446,-0.052864
1.3164,-0.061854
1.5722,-0.070536
1.8413,-0.078756
2.1314,-0.086565
2.5093,-0.095795
2.8551,-0.103039
3.3125,-0.111944
3.6954,-0.119616
4.2351,-0.128726
4.6816,-0.13573
5.3246,-0.144772
5.8611,-0.151177
6.6632,-0.159928
7.2713,-0.165836
8.2642,-0.17409
8.9543,-0.179262
10.1353,-0.186523
10.9686,-0.190822
12.3244,-0.19661
13.2264,-0.199915
14.7278,-0.204094
15.7331,-0.206475
17.2714,-0.209301
18.3587,-0.210928
19.9102,-0.212881
20.9762,-0.213943
22.5779,-0.215057
23.6519,-0.215811
25.235,-0.216513
26.3222,-0.216959
27.9556,-0.21749
29.0719,-0.217747
30.6417,-0.218022
31.7076,-0.218262
33.3092,-0.218263
34.3777,-0.217921
36.003,-0.21727
37.0952,-0.216004
37.8057,-0.214856
38.5398,-0.212767
39.4726,-0.208607
40.4073,-0.200284
40.8279,-0.193794
41.2799,-0.183862
41.5281,-0.176961
41.7785,-0.166601
41.9392,-0.159751
42.0702,-0.149357
42.1461,-0.142421
42.1949,-0.132078
42.2602,-0.12528
42.3541,-0.1148
42.4114,-0.107847
42.5159,-0.097555
42.5997,-0.090397
42.7096,-0.080191
42.7881,-0.073205
42.9324,-0.062964
43.0268,-0.055789
43.2294,-0.045395
43.3371,-0.038785
43.6034,-0.028356
43.8039,-0.021558
44.3116,-0.011814
44.902,-0.005906
45.689,-0.002482
