x,Re=1.5
0.02814,-0.004592
0.06351,-0.011399
0.06618,-0.012013
0.08103,-0.015345
0.08158,-0.015463
0.08266,-0.015689
0.11161,-0.020317
0.1145,-0.020604
0.13376,-0.021925
0.14309,-0.022332
0.14784,-0.022508
0.16472,-0.023101
0.17304,-0.023472
0.17512,-0.023577
0.2052,-0.02535
0.20721,-0.025461
0.21154,-0.025691
0.2139,-0.025812
0.23884,-0.026978
0.26427,-0.02805
0.26791,-0.028198
0.26841,-0.028218
0.2904,-0.029076
0.2987,-0.029369
0.3438,-0.030652
0.35833,-0.030985
0.37691,-0.03138
0.40231,-0.031881
0.45887,-0.032896
0.46557,-0.033008
0.47436,-0.033154
0.53383,-0.034052
0.5469,-0.034221
0.56171,-0.034398
0.59734,-0.03476
0.62339,-0.034972
0.62737,-0.035001
0.71808,-0.035484
0.7416,-0.035564
0.74581,-0.035577
0.79192,-0.035686
0.82435,-0.035725
0.88738,-0.03566
0.93465,-0.035463
1.00246,-0.035356
1.0248,-0.035354
1.09358,-0.035402
1.09411,-0.035402
1.11517,-0.035428
1.1549,-0.035484
1.17256,-0.035513
1.18537,-0.035534
1.20096,-0.03556
1.20115,-0.03556
1.2024,-0.035563
1.31941,-0.035779
1.32138,-0.035783
1.42311,-0.035981
1.43636,-0.036007
1.5199,-0.036169
1.54729,-0.036221
1.56586,-0.036256
1.5671,-0.036258
1.59155,-0.036303
1.61163,-0.036339
1.63025,-0.036372
1.63795,-0.036385
1.68127,-0.036458
1.79548,-0.036616
1.88473,-0.036682
1.98951,-0.036659
2.08368,-0.036537
2.13869,-0.03648
2.16269,-0.036485
2.2083,-0.036533
2.25697,-0.036593
2.29351,-0.036622
2.32098,-0.036634
2.35452,-0.036636
2.37588,-0.03663
2.3866,-0.036626
2.41246,-0.03661
2.44848,-0.036578
2.45352,-0.036573
2.50063,-0.036515
3.06505,-0.035077
3.26857,-0.032957
3.36428,-0.030647
3.46606,-0.028101
3.59068,-0.022205
3.67123,-0.017913
3.76242,-0.012678
3.85968,-0.007962
3.97061,-0.00367
